,attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
24,-263511,-61510,601179,-46032,82020,-182153,-1636586,3527979,-1008878,-383604,-463634,-58961
25,-162191,-95543,646905,-40217,106462,-105893,-2124699,3859786,-1510505,-168243,-275188,-241071
26,-45371,-138472,714386,-47581,136123,-19809,-2820159,3520693,-1888806,253779,113121,-387594
27,53324,-171953,796818,-60947,158314,48917,-2435759,974761,-1176764,300226,-12358,-467612
28,66304,-176301,849196,-63245,161135,57665,-817737,-1752049,8804,207828,-548442,-525036
29,36535,-162990,857668,-55676,152456,37144,492488,-1000137,513715,-168837,-976302,-546658
30,30727,-137522,846920,-37443,135481,30588,856572,1421306,978900,-441693,-1110877,37916
31,74072,-116916,842643,-18824,121396,58103,179511,3056881,140999,-572021,-788504,467689
32,135240,-126715,863222,-22854,128133,100554,-721394,2353713,-1185784,-546690,29847,659660
33,192028,-142998,888607,-34281,139172,139211,-466874,2033269,-925086,-563583,955592,737840
34,209461,-141358,899379,-33340,138069,150960,151159,87884,-81858,-687938,418273,343568
35,185948,-137783,889113,-30381,135657,135157,803647,-654083,-247265,-251718,-441651,59475
36,163438,-136618,871302,-29568,134870,119933,797744,295544,-358550,4885,-448920,67986
37,167209,-136179,860981,-29213,134573,122481,505100,1056690,-239792,115415,-409361,153693
38,173400,-130720,855623,-25175,130867,126657,418253,675927,-49767,390339,-255906,-148974
39,177749,-124090,849831,-20328,126335,129618,514062,929938,14670,578760,-35494,-28996
40,185201,-116244,841013,-14659,120932,134771,484012,893810,17711,640809,-25847,120422
41,189905,-107319,841046,-8273,114731,138104,211570,446886,130680,-139946,-597940,199198
42,193360,-99883,840374,-3001,109521,140599,242034,613777,-72283,-239638,-545519,42711
43,206113,-99176,848866,-2698,109024,149579,-207365,585199,-527243,-281231,-481972,-51932
44,216440,-106195,864282,-7944,113946,156648,-280722,145477,-788907,-120225,-375247,94487
45,223379,-114436,882634,-14061,119680,161221,-443830,-70178,-796179,69578,-420485,27872
46,228984,-120012,904559,-18276,123532,164893,-472241,-240332,-578241,68132,-565801,45745
47,224247,-112549,917676,-12731,118372,161886,-271667,-265361,-357775,51372,-727450,-107879
48,217005,-112366,929003,-12383,118245,156867,-79754,-567356,-393434,23649,-804349,-362856
49,205062,-113414,938346,-12860,118972,148560,-51021,-617388,-427352,-54929,-763344,-243311
50,190694,-114313,943769,-13307,119595,138589,134623,-602113,-412188,-140711,-706121,34574
51,172177,-115041,947062,-13782,120100,125761,113456,-760928,-371540,-210486,-664924,152382
52,155599,-113451,953550,-12793,118998,114260,-22793,-798263,-241053,-253681,-622348,123738
53,129041,-110407,959072,-11256,116883,95747,191343,-1483302,-143608,-300095,-676752,73373
54,85115,-103142,957634,-8230,111810,64784,375702,-2030222,70956,-322513,-675860,45742
55,23634,-90562,950795,-4714,102936,20658,745593,-2784668,340495,-325618,-530496,51905
56,-63108,-73039,931294,-4901,90390,-42618,1316755,-3630441,363725,-287772,-168798,59866
57,-165137,-54411,906327,-14061,76820,-117434,1326507,-3977179,220027,-263445,93855,298868
58,-256036,-40318,897218,-30726,66397,-183226,476115,-3829032,142301,-192641,90180,504597
59,-332181,-33464,899102,-52494,61279,-235925,496766,-3310261,-137024,-254294,7025,408096
60,-402323,-26208,887726,-75707,55829,-283462,821373,-2509461,-346223,-239397,-83685,104986
61,-456700,-23684,883479,-97749,53925,-318098,264112,-2028479,-265274,-195260,-241098,518665
62,-478841,-17893,891273,-104812,49538,-333766,174487,-396895,182799,-231471,-409869,526155
63,-464371,-13375,906513,-95822,46103,-326773,-284175,988744,119068,-424100,-463530,216870
64,-430548,-18253,932965,-83341,49812,-304062,-938039,1102434,-39469,-546781,-410127,189414
65,-398586,-31883,968551,-77306,60095,-279065,-1408748,587281,-273901,-583547,-507658,206499
66,-360818,-53817,1012281,-74938,76384,-247496,-1901002,954337,-529910,-512474,-601279,85499
67,-299561,-84045,1067848,-71538,98295,-198584,-2405053,1771026,-797260,-432286,-602317,-61113
68,-222168,-119616,1128613,-71410,123260,-138676,-2387670,2116805,-1235553,-128826,-479241,-215566
69,-141372,-154040,1189026,-75907,146546,-78622,-2120559,2091931,-1107605,261306,-26391,-494461
70,-90788,-164855,1230173,-74026,153680,-44334,-492215,526982,-108257,439494,22672,-613496
71,-113577,-154564,1225884,-70742,146894,-60914,887528,-1035324,180052,288475,46335,-890084
72,-136687,-136889,1225758,-62832,135053,-79602,237674,-594978,646035,-7322,43664,-938060
73,-136992,-118406,1239920,-50062,122425,-83974,103290,59841,578027,-367047,-478879,-53333
74,-137363,-110111,1238031,-44456,116677,-86071,669792,510253,-394948,-281101,-423677,310456
75,-148425,-115325,1215869,-50436,120296,-92175,1014845,692682,-1026227,-134174,91045,530718
76,-149971,-119758,1194825,-53816,123358,-92157,613202,1111672,-496527,-160763,260392,748993
77,-127198,-110530,1203529,-42585,116969,-79244,-122978,1334160,445559,-488201,-393039,966121
78,-83904,-100881,1221487,-27507,110223,-52112,-78854,1977940,53005,-333251,-361758,774240
79,-57191,-95399,1206252,-19114,106361,-34825,1336946,2310130,-330637,-103759,-112519,757534
80,-48751,-85374,1177351,-10872,99244,-30606,1315790,1190710,173782,571027,-326959,100100
81,-59306,-56882,1158147,6522,78633,-42552,1176074,181081,1295733,553634,-306349,112046
82,-66054,-35069,1170955,19569,62481,-50893,-797175,-775016,213884,268583,-804128,-422321
83,-59654,-41591,1211331,16486,67344,-45223,-1360528,-489178,-448441,-109391,-498749,547656
84,-41964,-53246,1252148,11807,75964,-30705,-1334272,-87847,-667758,-53946,-338896,532160
85,-22560,-68874,1294275,4318,87376,-14620,-1522608,-182233,-876187,57959,-158262,296610
86,251,-86880,1346021,-4903,100316,3830,-1838449,-435706,-884478,9593,-279129,178412
87,24034,-103470,1401619,-13714,112040,22337,-1772251,-396634,-856291,-74309,-429828,194099
88,52435,-120433,1456721,-23057,123821,43568,-1798427,-169154,-977475,-202646,-463506,204242
89,90093,-137749,1518815,-32918,135634,70452,-2024575,61789,-992170,-285604,-464957,268772
90,140139,-152493,1585328,-41739,145518,104614,-1967512,479980,-926077,-262180,-475880,333562
91,189604,-163955,1648082,-49927,153090,137392,-1754619,378013,-919118,-157863,-485176,194048
92,234444,-174534,1707243,-58944,159990,166346,-1590317,335003,-961713,-161845,-555064,45407
93,277111,-182269,1760533,-66984,164982,193332,-1347149,431696,-844769,-287013,-596982,50067
94,313490,-187829,1806751,-73961,168541,215957,-1081052,320932,-814995,-322686,-595201,121969
95,339752,-194003,1842253,-81151,172466,231759,-625641,250252,-850180,-199330,-566884,126539
96,354438,-201439,1863539,-88402,177154,239910,-219526,209256,-806698,-44008,-517997,85565
97,276613,-148996,1813506,-41935,143189,195498,-118712,10182,-641870,-48605,-568200,-91518
98,275257,-152068,1824114,-44126,145236,194373,-54479,-257000,-481914,-64939,-601360,-121841
99,263948,-151896,1831144,-43307,145121,186894,75315,-657559,-324533,-46196,-614947,-24092
100,239285,-149232,1831987,-40111,143346,170653,318864,-1142689,-161977,67872,-578215,-3029
101,195336,-142920,1819753,-34260,139120,141433,945423,-1559127,72600,131250,-453246,-13848
102,119646,-129116,1776477,-25140,129773,90004,2226286,-2041119,415450,175200,-207235,37657
103,25190,-106914,1711230,-16023,114449,23511,2600539,-1981081,528015,220817,-34121,337304
104,-53400,-82699,1666318,-9801,97333,-34265,1658145,-2094814,483122,53187,-22207,555465
105,-120010,-63919,1643313,-9822,83776,-84061,1206877,-2304364,264457,-2379,-35170,735008
106,-190516,-44341,1623107,-14213,69387,-137363,1302087,-2605572,381944,140363,-112258,692499
107,-255023,-20915,1614739,-18774,51830,-187914,743680,-2528571,790279,513668,-228766,480904
108,-287927,8084,1628981,-12947,29602,-218716,255430,-1361768,1397464,639097,-359124,467852
109,-302052,39676,1653616,-595,4784,-237492,27304,-1204831,1509902,213705,-392045,412974
110,-322006,67928,1685165,6693,-17924,-259549,-371536,-1943542,1441833,-120596,-352644,359515
111,-352396,89509,1726177,5245,-35584,-287298,-877741,-2579676,1388906,-316595,-282159,389630
112,-387014,102182,1778205,-3605,-46079,-315472,-1448640,-2992537,1234828,-368291,-281506,512850
113,-422399,106537,1834403,-17798,-49705,-341410,-1622512,-2954880,1026330,-409824,-360200,640503
114,-455878,104257,1889188,-34963,-47805,-363441,-1709211,-2800141,767017,-455205,-426019,634366
115,-487177,96325,1940636,-54195,-41217,-381479,-1649511,-2578856,522528,-464217,-499868,616775
116,-514927,84772,1986266,-73648,-31684,-395204,-1548622,-2210720,281342,-441224,-501741,562415
117,-536103,69429,2027500,-91582,-19143,-402694,-1519877,-1724201,68344,-430751,-477737,574209
118,-546914,50925,2066143,-105542,-4200,-402074,-1553766,-1105620,-82237,-429913,-433506,581141
119,-545139,29193,2104037,-114475,13087,-392297,-1633870,-566757,-237312,-403601,-382802,478531
120,-535130,3588,2141483,-121382,33083,-375892,-1711335,-203469,-443416,-325619,-354063,362837
121,-517562,-24990,2176404,-126759,54910,-353726,-1669879,237301,-681905,-234762,-361712,297381
122,-493510,-56710,2209146,-131903,78507,-326472,-1726428,514198,-880276,-140033,-360423,97459
123,-464741,-90358,2244180,-137673,102791,-295812,-1784765,530621,-940525,38557,-398897,-104449
124,-438590,-122883,2281227,-145741,125507,-267351,-1711204,101890,-881777,263667,-499096,-262489
125,-425842,-147541,2318144,-155658,142217,-249886,-1241025,-722822,-443738,632745,-684232,-162705
126,-434244,-150218,2349281,-160497,144005,-253353,-375791,-1498546,454196,755641,-748566,-114514
127,-439383,-133197,2385312,-152201,132550,-263437,-250316,-932669,1355927,687439,-787253,21591
128,-422292,-107880,2432143,-130411,115123,-264279,-420041,-416621,1655319,89736,-805988,232379
129,-401807,-87084,2480508,-110122,100462,-260479,-680981,-291396,1202546,54159,-561729,327685
130,-373083,-89470,2519489,-100597,102161,-242320,-1241341,942972,-368963,311464,-206754,489245
131,-333717,-104232,2555046,-95557,112573,-213082,-915147,691526,157065,-447986,97334,1033996
132,-324561,-84544,2587403,-80244,98651,-214178,29945,-826885,1298997,-551190,-57431,563015
133,-328610,-58966,2615842,-66186,80160,-225276,-341934,-892022,1127704,-635025,-183533,214541
134,-329771,-58985,2655555,-66609,80174,-226013,-1200384,-1020795,-288180,-669286,-646604,562461
135,-325445,-85351,2673650,-81043,99227,-214458,-818838,499815,-1531942,-719351,-622459,908005
136,-302660,-116810,2678785,-93228,121323,-189782,-592432,1659422,-1608759,-608015,-557947,1032149
137,-257695,-139074,2687963,-94239,136529,-155052,-511253,2584313,-938534,285407,-164446,805784
138,-200987,-150523,2708043,-86987,144207,-116773,-582645,2080039,-511097,496660,-247442,528019
139,-175129,-162995,2724914,-89601,152459,-97452,-525072,167469,-993217,683509,-519853,8896
140,-175112,-184122,2756398,-104682,166171,-91888,-1515804,-1284721,-878636,332682,-561733,-57687
141,-158096,-207211,2824198,-117895,180764,-75728,-2382299,-1396354,-715766,27491,-594362,402531
142,-126653,-230930,2898929,-129600,195320,-51524,-2176151,-913257,-759810,-281772,-490205,709184
143,-94249,-250065,2968329,-138828,206736,-28627,-1923132,-764385,-646070,-301398,-443927,594595
144,-56664,-265634,3032706,-145595,215807,-4260,-1639791,-172998,-665145,-263641,-401790,405114
145,-16143,-279263,3085875,-151619,223586,20713,-1208434,312585,-726848,-188007,-407615,177475
146,18343,-291946,3125878,-158572,230687,41564,-829897,388428,-840737,-139472,-435529,93726
147,43300,-305817,-3125567,-168039,238299,56809,-671630,126249,-947186,-45044,-516033,-10538
148,59869,-318818,-3094818,-177796,245288,67022,-622697,-289745,-855511,59027,-705578,-41396
149,68394,-328223,-3067889,-185221,250254,72398,-412758,-412593,-686178,179291,-832964,5733
150,70139,-333444,-3048798,-189552,252979,73785,-202276,-382174,-483921,240963,-854153,55737
151,70102,-333390,-3033917,-189507,252951,73761,-104930,-291986,-212028,308211,-779188,141592
152,65323,-327291,-3022340,-184610,249765,70710,87990,-533452,65230,224441,-752322,76330
153,38304,-316170,-3025180,-177048,243875,55332,604004,-1140010,254414,149023,-619510,-17942
154,-18097,-297363,-3049345,-166569,233679,22551,1424759,-1670521,609068,96979,-466520,85350
155,-111926,-263451,-3106727,-152130,214547,-35527,2649283,-2271919,1024316,85591,-49364,254725
156,-225504,-222700,3121675,-144268,190319,-110104,2016620,-3777812,938505,-219205,132609,178577
157,-302082,-200991,3127785,-149126,176873,-160253,-317802,-3459220,546845,-294960,-23408,678936
158,-339607,-198668,-3107441,-158819,175412,-181840,-1147428,-3379578,530265,-140873,19266,973304
159,-390212,-170939,-3087146,-157314,157654,-220580,1725136,-2548574,1745674,524232,-327845,836050
160,-439464,-105870,-3082385,-136083,113719,-274940,1041442,-2421568,2543985,1121623,-289036,-497073
161,-466166,-80306,-3020860,-132647,95619,-300850,-1293948,-3394860,1547223,691032,-420869,233321
162,-495545,-74752,-2966700,-142517,91625,-319918,-921835,-2747678,819398,-70444,-391424,598015
163,-523738,-72731,-2927242,-154341,90166,-336531,-802225,-2280412,547238,-725323,-524792,425374
164,-540375,-76967,-2889664,-164382,93221,-343714,-932127,-1400703,179871,-796840,-742903,451814
165,-539363,-87903,-2860179,-169664,101046,-338147,-889028,-258427,-198374,-837946,-963283,470126
166,-520441,-101898,-2835496,-168495,110937,-321549,-839831,775442,-378816,-750369,-944884,408498
167,-488721,-116770,-2814193,-162849,121295,-297674,-747468,1238046,-527247,-635119,-989360,402020
168,-454185,-131283,-2794423,-156946,131250,-272422,-771196,1434077,-511640,-606338,-992327,414350
169,-402962,-147523,-2764865,-147111,142205,-237200,-1206064,2069165,-447126,-590585,-977754,394921
170,-327893,-168759,-2725241,-135130,156233,-186520,-1474349,2854253,-741630,-541332,-810997,254123
171,-246852,-197285,-2693245,-131357,174541,-130249,-1145874,3273673,-1483356,-408342,-672001,147421
172,-180647,-236604,-2683327,-144453,198736,-80786,-574039,3119621,-2347628,-294979,-625319,126523
173,-141518,-278764,-2683386,-169186,223304,-47905,-409867,1588670,-2186423,202378,-143616,-29481
174,-130200,-308249,-2668700,-190617,239616,-34375,-845537,-453401,-1292748,417032,-161471,-85811
175,-106572,-327606,-2610847,-202612,249931,-17558,-1799692,-1042960,-617131,697765,-519882,-341353
176,-70032,-337032,-2541635,-205378,254837,2909,-1325511,-510493,-187213,383881,-923425,-168353
177,-39623,-331355,-2503844,-197023,251890,17146,-238712,635212,334862,80298,-774803,23402
178,-18154,-314920,-2494053,-181040,243206,25388,370780,1127681,527563,100632,-362860,100808
179,-7052,-298222,-2507769,-166126,234150,28649,1006073,1674127,253563,17358,-194975,470366
180,14228,-288023,-2524779,-155723,228504,38782,481725,2246942,-14685,-178227,53530,821485
181,56276,-279110,-2506378,-145074,223498,61107,-464657,1133599,304871,-451860,267260,891903
182,60557,-266656,-2489213,-134627,216396,62315,258824,-1041810,240073,-137081,112117,373009
183,-9401,-248342,-2529938,-126102,205721,19763,2044665,-953700,366734,577003,-418757,-630017
184,-36278,-231453,-2561702,-116021,195636,1339,991576,571673,239919,276137,-845638,-210714
185,-14873,-223420,-2553766,-107148,190759,12779,-349911,1178180,-20192,-296716,-836061,960997
186,13816,-218705,-2534012,-100367,187873,29400,-225731,992558,-61816,-170563,-651947,735666
187,45573,-218497,-2514281,-97331,187745,48664,-521792,1216657,-434844,293306,-480768,-47087
188,85844,-224945,-2481426,-99650,191688,73708,-816099,840207,-610538,265594,-535371,-170793
189,108488,-233838,-2456165,-105602,197073,87943,-344584,144848,-818929,350496,-451705,192214
190,93804,-240661,-2447337,-111720,201162,79587,115070,-1283191,-542560,135850,-537901,-101325
191,55571,-239878,-2444525,-113439,200695,56826,178505,-1803492,-219916,64235,-610189,-199641
192,13467,-234183,-2450408,-112527,197281,31197,763568,-1291741,-32750,-105226,-701608,55906
193,-34359,-221127,-2477575,-107761,189357,748,1380853,-931527,193290,-262778,-661717,-174691
194,-98028,-204860,-2518549,-104868,179297,-40543,1842261,-1441737,45479,-275452,-608139,-162926
195,-177148,-188000,-2563816,-107929,168650,-92078,1788883,-2199872,6554,-347601,-750904,334927
196,-263589,-169012,-2598282,-116176,156399,-149091,1581879,-2991311,170628,-375701,-824758,428821
197,-349919,-147002,-2616204,-128121,141857,-207238,1083699,-3452860,407021,-252886,-791539,413330
198,-429107,-129331,-2620148,-145866,129919,-259339,753812,-3483850,184703,-161472,-645064,641685
199,-501558,-116574,-2627104,-168267,121160,-304702,911383,-2654469,-100474,-201387,-418105,638204
200,-557508,-107388,-2642442,-188489,114779,-338533,882286,-1472372,-517731,-140242,-30010,344719
201,-581379,-108016,-2650565,-200134,115217,-350446,151804,6730,-541820,-37501,-3593,307530
202,-568099,-115735,-2644016,-197883,120580,-339917,-370902,1052198,-463488,43729,-341292,350741
203,-533343,-133044,-2624294,-191427,132446,-313749,-1143764,1454166,-681979,-46726,-550973,154911
204,-480323,-166276,-2587859,-188250,154612,-270709,-2072676,1749261,-945219,-174339,-525210,-116125
205,-393928,-206475,-2526756,-181648,180304,-207807,-2717618,2715034,-811024,-139163,-573166,-233852
206,-270293,-244124,-2444996,-170974,203223,-127617,-2834693,3505813,-795764,-184596,-633636,-405428
207,-142023,-273579,-2368006,-165222,220361,-49518,-1999438,3585456,-923560,-61457,-784425,-438025
208,-41216,-291473,-2316019,-164394,230423,9040,-1038154,3013763,-781515,83620,-798670,-258271
209,25966,-300522,-2297843,-164992,235412,46822,122859,2954880,-649417,229573,-435906,39381
210,67779,-301191,-2311729,-162565,235778,69576,842217,2901917,-283267,150135,24315,189143
211,83357,-289601,-2332227,-152074,229384,77141,827188,1209620,421642,-46926,45434,153944
212,76375,-270587,-2343774,-136839,218652,71688,549056,281983,607828,-384960,-543887,-158459
213,90388,-252598,-2334363,-121480,208226,78395,-185822,870067,433162,-462163,-716840,-154988
214,111604,-243393,-2321075,-113116,202788,90321,-57174,757599,-57177,-444389,-740151,440509
215,127090,-242969,-2303413,-112240,202537,99491,-326701,17466,-413829,-181761,-196320,394442
216,101250,-244774,-2308516,-114661,203609,84267,1074790,-739683,-362476,683209,31734,132109
217,61829,-218613,-2368968,-96188,187816,58583,2412520,1939441,1416682,1579897,-392933,-46749
218,59787,-189435,-2398537,-73728,169565,54661,525682,679808,508878,262317,-395099,-98662
219,88384,-186010,-2365502,-69220,167380,72540,-1310929,493378,-293128,-586032,-702255,604650
220,121634,-190560,-2317870,-71178,170281,93942,-1109831,-231301,-660399,-596602,-781649,359129
221,127128,-207412,-2297627,-84070,180889,98091,136347,224348,-1401101,293486,-283559,-18205
222,117857,-222343,-2311810,-96116,190101,93027,697576,171840,-745499,742713,-73411,-251849
223,74740,-206810,-2324888,-86101,180514,65511,802659,-2480615,1005177,674608,-605801,61769
224,-27620,-170710,-2352419,-68653,157507,-3180,1778990,-4484915,1353191,299509,-582197,322964
225,-173962,-127107,-2388072,-64340,128400,-105901,1970711,-6365092,1444534,-478487,-567191,172787
226,-294278,-85785,-2403398,-70899,99537,-194673,1273274,-4003920,1120443,-808764,-477186,398765
227,-346510,-61324,-2410813,-74032,81884,-235869,1000145,-1474011,322673,-1133406,-543364,925008
228,-403353,-50696,-2427847,-89774,74086,-275155,900449,-2360135,-701313,-1579898,-926174,115554
229,-442661,-67483,-2453162,-115465,86367,-292412,696746,125886,-2037994,-993019,-1023999,785766
230,-453871,-85749,-2504883,-130470,99512,-291521,1348460,2633681,-2103954,-617083,-712207,324394
231,-406567,-103774,-2539598,-121840,112253,-256796,342600,4290928,-1684746,-449871,-630311,135144
232,-322372,-127857,-2540120,-106684,128914,-197953,-946162,4997713,-1227841,-202484,-554612,80726
233,-191076,-166047,-2490153,-95448,154461,-106424,-2506224,4789519,-1623031,619792,-305532,472764
234,-71726,-206844,-2439306,-102105,180533,-24290,-1332953,4074517,-1790176,834394,200316,24296
235,-13138,-229811,-2435587,-111929,194643,14780,570882,2134284,-1218916,479245,271870,-679660
236,-27563,-240400,-2460732,-121932,201007,7944,782013,30570,-920985,217488,-292661,-775577
237,-40177,-246680,-2458109,-128443,204737,1676,-315682,-442514,-477255,83893,-537892,-485373
238,-16460,-250816,-2424810,-128851,207178,16056,-808909,635392,-278052,184276,-491702,121767
239,17420,-248176,-2415518,-123234,205623,35336,597552,1970280,-189822,365686,-141621,529703
240,26893,-244254,-2436468,-119243,203301,40388,702158,1422702,-273847,-54870,109572,723809
241,49814,-234882,-2422713,-109900,197702,52906,-492127,480808,541548,-679919,-244601,562961
242,72805,-215426,-2385669,-92948,185854,65019,-681766,-62263,650946,-442247,-641384,249731
243,87777,-203233,-2366425,-82537,178279,73349,-10434,653390,122744,-227577,-930515,-410210
244,89726,-194119,-2388515,-75376,172540,73943,1541951,1720186,-4513,181674,-749026,-187340
245,97284,-187894,-2425093,-70183,168583,78327,1171358,2108071,-246879,246732,-302731,417270
246,121198,-183995,-2439322,-66148,166089,93380,487267,1928931,-143538,522865,-92185,493678
247,118807,-176932,-2446890,-60841,161542,91533,665175,-467528,132104,382868,-626105,116495
248,77718,-164315,-2457035,-53419,153326,64103,518393,-1453867,232756,145983,-882339,-166009
249,46966,-151883,-2461866,-46486,145113,42847,535771,-679446,226544,-167955,-846492,-28330
250,32356,-144233,-2470225,-42190,140001,32396,591814,176548,-232429,-176768,-615213,277532
251,24664,-145345,-2482619,-43774,140748,27418,719513,506518,-542812,43825,-440911,272897
252,17791,-145102,-2497549,-44313,140585,22838,746789,401080,-306409,144767,-511152,236125
253,-4485,-136485,-2515570,-40589,134781,6969,1069751,-442206,109261,243476,-662254,-133580
254,-46984,-121488,-2535628,-35707,124548,-23639,1056664,-1543190,259063,45493,-546844,-184393
255,-113768,-105815,-2557484,-36604,113681,-71284,1292013,-2444860,166791,-141491,-437450,156219
256,-190147,-87636,-2587566,-41855,100856,-126420,1714643,-2433468,148364,-326958,-424167,382102
257,-275646,-67238,-2621960,-53392,86189,-188421,1863690,-2880842,8973,-263894,-319841,385845
258,-369412,-45096,-2658530,-73177,69946,-255967,1945596,-3235610,-54094,-135055,-218773,353309
259,-455118,-27587,-2680035,-99109,56866,-315619,927882,-3263819,-109237,149987,-199852,242475
260,-521232,-30352,-2673248,-131239,58946,-353579,-387510,-3060991,-407105,98225,-383189,719567
261,-569991,-39097,-2662521,-159724,65487,-377080,-209198,-2110199,-436989,-32913,-562231,746883
262,-598359,-44866,-2654529,-177068,69775,-389671,-195532,-793203,-261294,-316670,-551945,537917
263,-587322,-51663,-2638495,-174673,74798,-380629,-610047,971312,-272860,-408710,-314766,229376
264,-545123,-76127,-2611871,-166198,92616,-346668,-1719367,1703747,-790021,-445705,-226536,-3057
265,-481180,-116003,-2570964,-159205,120765,-293904,-2253183,2354167,-1010364,-227203,-621536,25920
266,-392824,-151202,-2522081,-145728,144660,-230034,-1944151,3298857,-693222,-327670,-777344,-23439
267,-288404,-171777,-2476922,-125145,158201,-162701,-1346229,4085302,-480681,-331911,-793494,-50626
268,-179094,-186836,-2440697,-107522,167907,-93553,-987901,4611980,-632678,-320390,-781014,-100364
269,-66878,-202788,-2406487,-98294,178000,-22126,-1072339,4495316,-954653,45702,-351959,-212928
270,30077,-224819,-2369288,-103604,191612,39975,-974479,3126457,-1310070,173052,-214676,-235480
271,76122,-238196,-2345790,-110730,199690,68884,-281590,886115,-563150,218110,-126090,-338959
272,90338,-231581,-2341385,-104661,195713,76895,451874,1051991,208745,50147,-828930,68987
273,104357,-214979,-2354871,-90868,185580,84369,815918,1867691,500798,-158073,-818034,179492
274,130303,-204119,-2370053,-81404,178833,99946,662037,2283372,-219722,-311504,-730478,242498
275,147474,-210679,-2378701,-86117,182919,110830,462988,1072073,-825242,-423353,242151,416565
276,151635,-214158,-2380247,-88776,185072,113482,205131,263309,-281214,-424097,264748,369984
277,138201,-210204,-2384250,-85945,182624,105067,532110,-204944,-149076,-241213,86318,370814
278,135083,-201841,-2390705,-79494,177406,102856,348506,841427,208292,509294,-576554,217539
279,149228,-184085,-2397481,-65457,166148,111333,771655,1425160,649539,576312,-653873,-109221
280,149333,-165382,-2420408,-51217,154025,110998,952369,1026070,396008,64681,-572507,163407
281,156230,-157743,-2429647,-45354,148999,115392,327998,1097723,-197035,-350682,-414235,569215
282,170773,-158183,-2424707,-45550,149290,125006,11532,667458,-481773,-180702,-370581,200927
283,173614,-164392,-2419422,-50213,153377,126902,164807,61946,-771551,248781,-418797,-140109
284,174642,-174585,-2415404,-57938,160023,127598,21526,339925,-898959,346655,-448347,199084
285,181494,-182667,-2403967,-64115,165237,132016,-148153,89235,-664814,270771,-511666,295298
286,178247,-183719,-2395664,-64919,165912,129931,105576,-259497,-255602,138472,-781126,57789
287,162918,-178722,-2397703,-61161,162698,120045,457135,-430828,-72397,56908,-616884,-221434
288,138894,-173616,-2411058,-57684,159395,104403,834754,-304982,-169266,21190,-533381,-182690
289,107533,-168643,-2436362,-55023,156158,83818,1249567,-282203,-98031,-100122,-629234,159932
290,64267,-154323,-2472947,-46897,146734,54479,1677413,-632302,501473,-217440,-765471,139756
291,1923,-125087,-2508529,-31598,127019,9779,1536434,-2209738,1096441,-296048,-750807,-48727
292,-87493,-92188,-2530127,-22219,104089,-56160,1274521,-3860625,984565,-60921,-617938,-126726
293,-187754,-66709,-2554724,-27665,85806,-130024,1631393,-3754557,258393,-248056,-653472,563670
294,-292293,-55689,-2576823,-51738,77759,-202816,846283,-4351190,-372303,-486175,-626076,761354
